index,会派,選挙区名,議員氏名,別名,twitter_id,twitter_name,twitter_follower,twitter_follow,youtube_id,youtube_name,youtube_follower,youtube_video_num,読み方,任期満了
28,自民,比例,片山 さつき,,@katayama_s,片山さつき,299000,58000,,,,,かたやま さつき,令和10年7月25日
29,自民,比例,神谷 政幸,,@kamiyamasayuki_,神谷まさゆき（神谷政幸）参議院議員/薬剤師,3723,770,,,,,かみや まさゆき,令和10年7月25日
30,自民,比例,自見 はなこ,橋本 英子,@jimihanako,自見はなこ🌻🐟参議院議員,26000,4074,,,,,じみ はなこ,令和10年7月25日
31,自民,比例,進藤 金日子,,,,,,,,,,しんどう かねひこ,令和10年7月25日
32,自民,比例,友納 理緒,土肥 理緒,@tomonoh_rio,とものうりお（友納理緒）参議院議員,4729,535,,,,,とものう りお,令和10年7月25日
33,自民,比例,長谷川 英晴,,@HasegawaSangiin,長谷川ひではる,56,3,,,,,はせがわ ひではる,令和10年7月25日
34,自民,比例,藤井 一博,,,,,,,,,,ふじい かずひろ,令和10年7月25日
35,自民,比例,藤木 眞也,,,,,,@user-rs1lc1ep5y,藤木しんや公式YouTubeチャンネル,524,76,ふじき しんや,令和10年7月25日
36,自民,比例,山田 宏,,@yamazogaikuzo,山田宏 自民党参議院議員(全国比例),207000,133,,,,,やまだ ひろし,令和10年7月25日
37,自民,比例,山谷 えり子,小川 惠里子,@yamatanieriko,山谷えり子,37000,0,,,,,やまたに えりこ,令和10年7月25日
38,立憲,比例,石川 大我,,@ishikawataiga,石川大我 Taiga Ishikawa🌈全国比例,22000,9333,,,,,いしかわ たいが,令和7年7月28日
39,立憲,比例,小沢 雅仁,,@ozawamasahito,小沢雅仁,446,6,,,,,おざわ まさひと,令和7年7月28日
40,立憲,比例,大椿 ゆうこ,大椿 裕子,@ohtsubakiyuko,🌺大椿ゆうこ 社民党副党首 参議院議員/労働者の使い捨ては許さない！🌺,20000,1606,,,,,おおつばき ゆうこ,令和7年7月28日
41,立憲,比例,川田 龍平,,@KawadaOffice,参議院議員 川田龍平（立憲民主党）,29000,2678,,,,,かわだ りゅうへい,令和7年7月28日
42,立憲,比例,岸 真紀子,,@kishimakiko_j,参議院議員　岸まきこ（立憲民主党・全国比例）,3482,392,,,,,きし まきこ,令和7年7月28日
43,立憲,比例,水岡 俊一,,@s_mizuoka,参議院議員 水岡俊一(みずおか俊一)🕊,2593,879,,,,,みずおか しゅんいち,令和7年7月28日
44,立憲,比例,森屋 隆,,@pru_moriya,もりやたかし_森屋隆,1397,346,,,,,もりや たかし,令和7年7月28日
45,立憲,比例,吉川 沙織,,@yoshikawasaori,吉川さおり（参議院議員／全国比例）,2885,52,,,,,よしかわ さおり,令和7年7月28日
46,立憲,比例,青木 愛,,@aoki12ku,青木愛（参議院議員）,11000,4181,,,,,あおき あい,令和10年7月25日
47,立憲,比例,石橋 通宏,,@ishibashi2010,石橋みちひろ,4062,592,,,,,いしばし みちひろ,令和10年7月25日
48,立憲,比例,鬼木 誠,,@onikimakoto,参議院議員　鬼木まこと（立憲民主党・全国比例）,1193,63,@onikimakoto,鬼木まことチャンネル,539,58,おにき まこと,令和10年7月25日
